category_large,대분류CID,category_medium,category_small
건강/취미,55890,퍼즐/스도쿠/퀴즈,골프
건강/취미,55890,퍼즐/스도쿠/퀴즈,글씨 쓰기
건강/취미,55890,퍼즐/스도쿠/퀴즈,스티커북
건강/취미,55890,퍼즐/스도쿠/퀴즈,컬러링북
건강/취미,55890,퍼즐/스도쿠/퀴즈,낚시
건강/취미,55890,퍼즐/스도쿠/퀴즈,다이어트
건강/취미,55890,퍼즐/스도쿠/퀴즈,대체의학
건강/취미,55890,퍼즐/스도쿠/퀴즈,등산/캠핑
건강/취미,55890,퍼즐/스도쿠/퀴즈,무예/무술
건강/취미,55890,퍼즐/스도쿠/퀴즈,바둑/장기
건강/취미,55890,퍼즐/스도쿠/퀴즈,반려동물
건강/취미,55890,퍼즐/스도쿠/퀴즈,수영/수상스포츠
건강/취미,55890,퍼즐/스도쿠/퀴즈,재난/생존/서바이벌
건강/취미,55890,퍼즐/스도쿠/퀴즈,정신건강
건강/취미,55890,퍼즐/스도쿠/퀴즈,퍼즐/스도쿠/퀴즈
건강/취미,55890,퍼즐/스도쿠/퀴즈,한의학
건강/취미,55890,퍼즐/스도쿠/퀴즈,헬스/피트니스
건강/취미,55890,한의학,걷기/육상스포츠
건강/취미,55890,한의학,골프
건강/취미,55890,한의학,글씨 쓰기
건강/취미,55890,한의학,스티커북
건강/취미,55890,한의학,컬러링북
건강/취미,55890,한의학,낚시
건강/취미,55890,한의학,다이어트
건강/취미,55890,한의학,대체의학
건강/취미,55890,한의학,등산/캠핑
건강/취미,55890,한의학,무예/무술
건강/취미,55890,한의학,바둑/장기
건강/취미,55890,한의학,반려동물
건강/취미,55890,한의학,수영/수상스포츠
건강/취미,55890,한의학,재난/생존/서바이벌
건강/취미,55890,한의학,정신건강
건강/취미,55890,한의학,퍼즐/스도쿠/퀴즈
건강/취미,55890,한의학,한의학
건강/취미,55890,한의학,헬스/피트니스
건강/취미,55890,헬스/피트니스,걷기/육상스포츠
건강/취미,55890,헬스/피트니스,골프
건강/취미,55890,헬스/피트니스,글씨 쓰기
건강/취미,55890,헬스/피트니스,스티커북
건강/취미,55890,헬스/피트니스,컬러링북
건강/취미,55890,헬스/피트니스,낚시
건강/취미,55890,헬스/피트니스,다이어트
건강/취미,55890,헬스/피트니스,대체의학
건강/취미,55890,헬스/피트니스,등산/캠핑
건강/취미,55890,헬스/피트니스,무예/무술
건강/취미,55890,헬스/피트니스,바둑/장기
건강/취미,55890,헬스/피트니스,반려동물
건강/취미,55890,헬스/피트니스,수영/수상스포츠
건강/취미,55890,헬스/피트니스,재난/생존/서바이벌
건강/취미,55890,헬스/피트니스,정신건강
건강/취미,55890,헬스/피트니스,퍼즐/스도쿠/퀴즈
건강/취미,55890,헬스/피트니스,한의학
건강/취미,55890,헬스/피트니스,헬스/피트니스
경제경영,170,경제학/경제일반,경제이론/경제사상
경제경영,170,경제학/경제일반,경제이야기
경제경영,170,경제학/경제일반,경제정책/비평
경제경영,170,경제학/경제일반,화폐/금융/재정
경제경영,170,기업 경영,경영 일반
경제경영,170,기업 경영,경영전략/혁신
경제경영,170,기업 경영,무역
경제경영,170,기업 경영,생산/품질/물류관리
경제경영,170,기업 경영,서비스/고객관리
경제경영,170,기업 경영,세무/재무/회계
경제경영,170,기업 경영,조직/인력/성과관리
경제경영,170,기업 경영,e-비즈니스
경제경영,170,기업/경영자 스토리,국내 기업/경영자
경제경영,170,기업/경영자 스토리,국외 기업/경영자
경제경영,170,기업/경영자 스토리,벤처/인터넷 기업/경영자
경제경영,170,마케팅/세일즈,광고/홍보/PR
경제경영,170,마케팅/세일즈,네트워크 마케팅
경제경영,170,마케팅/세일즈,마케팅/브랜드
경제경영,170,마케팅/세일즈,모바일/SNS
경제경영,170,마케팅/세일즈,영업/세일즈
경제경영,170,트렌드/미래전망,트렌드/미래전망 일반
경제경영,170,트렌드/미래전망,인공지능/빅데이터
경제경영,170,트렌드/미래전망,메타버스/디지털플랫폼
경제경영,170,트렌드/미래전망,블록체인/디지털자산
경제경영,170,트렌드/미래전망,에너지/환경/우주
경제경영,170,트렌드/미래전망,시니어/바이오헬스
경제경영,170,재테크/투자,보험
경제경영,170,재테크/투자,부동산/경매
경제경영,170,재테크/투자,세금
경제경영,170,재테크/투자,재테크/투자 일반
경제경영,170,재테크/투자,주식/펀드
경제경영,170,재테크/투자,가상/암호화폐
경제경영,170,창업/취업/은퇴,벤처/스타트업/인터넷창업
경제경영,170,창업/취업/은퇴,은퇴설계
경제경영,170,창업/취업/은퇴,창업정보
경제경영,170,창업/취업/은퇴,취업정보
경제경영,170,CEO/비즈니스맨을 위한 능력계발,간부학/리더십
경제경영,170,CEO/비즈니스맨을 위한 능력계발,기획/정보/문서관리
경제경영,170,CEO/비즈니스맨을 위한 능력계발,성공학/경력관리
경제경영,170,CEO/비즈니스맨을 위한 능력계발,시간관리
경제경영,170,CEO/비즈니스맨을 위한 능력계발,화술/협상/프레젠테이션
공무원 수험서,34582,국가기술자격,가이드북
공무원 수험서,34582,국가기술자격,귀화시험
공무원 수험서,34582,국가기술자격,운전면허
공무원 수험서,34582,국가기술자격,한국어능력검정시험
공무원 수험서,34582,국가기술자격,매경 TEST
공무원 수험서,34582,국가기술자격,TESAT
공무원 수험서,34582,국가전문자격,가맹거래사
공무원 수험서,34582,국가전문자격,가축인공수정사
공무원 수험서,34582,국가전문자격,간호/조무사
공무원 수험서,34582,국가전문자격,감정평가사
공무원 수험서,34582,국가전문자격,건강운동관리사
공무원 수험서,34582,국가전문자격,건축물에너지평가사
공무원 수험서,34582,국가전문자격,건축사
공무원 수험서,34582,국가전문자격,검수사
공무원 수험서,34582,국가전문자격,경비지도사
공무원 수험서,34582,국가전문자격,경영지도사
공무원 수험서,34582,국가전문자격,공경매사
공무원 수험서,34582,국가전문자격,공인노무사
공무원 수험서,34582,국가전문자격,공인회계사
공무원 수험서,34582,국가전문자격,관광통역안내사
공무원 수험서,34582,국가전문자격,관세사
공무원 수험서,34582,국가전문자격,교통기술사
공무원 수험서,34582,국가전문자격,교통안전관리자
공무원 수험서,34582,국가전문자격,국가유산수리기술자(구 문화재수리기술자)
공무원 수험서,34582,국가전문자격,국내여행안내사
공무원 수험서,34582,국가전문자격,기관사
공무원 수험서,34582,국가전문자격,기술지도/행정사
공무원 수험서,34582,국가전문자격,기업재난관리사
공무원 수험서,34582,국가전문자격,나무의사
공무원 수험서,34582,국가전문자격,농산물품질관리사
공무원 수험서,34582,국가전문자격,동력수상레저기구조종면허
공무원 수험서,34582,국가전문자격,동물보건사
공무원 수험서,34582,국가전문자격,말산업 관련자격
공무원 수험서,34582,국가전문자격,맞춤형화장품조제관리사
공무원 수험서,34582,국가전문자격,물류관리사
공무원 수험서,34582,국가전문자격,물리치료사
